"cell_1","cell_2","cell_3","cell_4","cell_5","cell_6","cell_7","cell_8","cell_9","cell_10","cell_11","cell_12","cell_13","cell_14","cell_15","cell_16"
"刘小明","49","北京工业大学","1674","国家自然科学基金","1200","计算机","3386","计算机科学与技术","563","2018","1135","工程技术","6649","北京工业大学","1343"
"马重芳","37","工学硕士学位","449","国家高技术研究发展计划（863计划）","170","建筑科学","748","管理科学与工程","305","2016","1553","基础研究（社科）","616","工程硕士专业学位","858"
"任福田","43","硕士专业学位","1125","北京市自然科学基金","524","控制工程","934","计算机软件与理论","385","2017","1343","基础与应用基础研究（自然）","2463","北工大","952"
"霍达","30","功能模块","244","北京市教育委员会科技发展计划项目","117","电子技术","634","计算机应用技术","303","2015","1103","高级科普（自科）","583","工学硕士学位","363"
"闫维明","30","神经网络","242","国家重点基础研究发展计划（973计划）","94","物理","618","控制科学与工程","268","2014","1028","职业指导（社科）","291","企业管理","236"
"严辉","27","管理模块","193","国家科技支撑计划","78","交通运输","617","材料学","242","2013","1003","专业实用技术（自科）","242","应用研究","159"
"荣建","25","需求分析","185","高等学校博士学科点专项科研基金","60","金属学及工艺","539","结构工程","240","2012","920","政策研究（社科）","179","性能研究","157"
"张爱林","23","管理系统","140","北京市科技新星计划","50","信息通信","493","土木工程","226","2011","264","行业技术指导（自科）","118","北京市","154"
"殷树言","23","图像边缘","130","北京市科技计划项目（课题）","46","工商管理","448","光学工程","222","2010","290","行业指导（社科）","108","数值模拟","146"
"曹万林","23","数据集","112","北京市优秀人才培养基金","18","环境","382","热能工程","219","2009","353","政策研究（自科）","33","方法研究","143"
"余跃庆","23","特征提取","111","国家留学基金","17","工业经济","334","交通运输规划与管理","192","2008","289","高等教育","11","计算机应用","138"
"王存新","23","Android","111","国家科技攻关计划","15","数学","314","机械工程","174","2007","318","高级科普（社科）","3","需求分析","131"
"阮晓钢","22","设计过程","109","教育部新世纪优秀人才支持计划","11","材料","298","微电子学与固体电子学","173","2006","372","基础教育与中等职业教育","3","科学研究","129"
"陈光华","22","管理信息系统","109","国家社会科学基金","9","化学工程","283","材料科学与工程","173","2005","288","","","实验研究","126"
"吴国蔚","21","数据库技术","103","航空科学基金","8","电气工程","276","生物医学工程","171","2004","210","","","数值方法","121"
"周锡元","20","数值模拟","101","中国博士后科学基金","6","化学","261","物理学","158","2003","371","","","数据库服务器","111"
"尹宝才","20","系统需求分析","100","国家重点实验室建设项目","6","通用技术","248","机械制造及其自动化","153","2002","218","","","管理模块","110"
"沈兰荪","19","测试用例","98","装备预研基金","5","临床医学","236","数学","130","2001","237","","","神经网络","109"
"左铁钏","19","遗传算法","90","西部交通建设科技项目","4","城乡规划与市政","198","光学","128","2000","163","","","功能模块","106"
"鲍长春","19","J2EE","89","教育部留学回国人员科研启动基金","4","动力工程","178","电路与系统","116","1999","0","","","力学性能","104"
"伍良生","18","信息管理系统","87","国防科技重点实验室基金","3","城市经济","158","控制理论与控制工程","110","1998","1","","","Android","100"
"关宏志","18","分类器","83","国家国际科技合作专项","3","汽车工程","156","企业管理（含财务管理、市场营销、人力资源管理）","104","","","","","中华人民共和国","97"
"廖湖生","18","数据挖掘","82","国家科技基础条件平台建设项目","2","金融","147","电子科学与技术","104","","","","","计算机网络","92"
"孟大志","18","管理系统设计","81","教育部科学技术研究项目","2","机械工程","146","工程力学","93","","","","","客户端","91"
"周玉文","17","信息系统","80","世界卫生组织资助项目","2","基础医学","139","材料加工工程","93","","","","","关键技术研究","90"
"王普","17","层次分析法","79","高等学校骨干教师资助计划","2","教育","129","机械设计及理论","88","","","","","服务器","85"
"薛素铎","17","算法处理","76","国家科研院所技术开发研究专项资金","2","数量经济","114","国际贸易学","86","","","","","数据处理","84"
"张书杰","17","特征点","75","天津市自然科学基金","2","社会","110","化学工程与技术","85","","","","","试验研究","82"
"聂祚仁","17","影响因素","75","江西省自然科学基金","2","统计","98","信息与通信工程","84","","","","","财政管理","80"
"王子明","16","应用程序","75","机械工业技术发展基金","1","仪器仪表","97","模式识别与智能系统","82","","","","","Server","76"
